Track: 499, dx=-0.0304, dy=2.2784, dtheta=0.001322, nullCurves=0
Track: 733, dx=0.1761, dy=2.9038, dtheta=-6.269478, nullCurves=0
Track: 925, dx=-1.6156, dy=3.1206, dtheta=-0.007091, nullCurves=2
Track: 1166, dx=-0.3840, dy=2.3902, dtheta=-0.009206, nullCurves=0
Track: 1188, dx=1.8452, dy=2.0640, dtheta=-6.270461, nullCurves=0
Track: 1567, dx=-2.1570, dy=3.5239, dtheta=-0.021396, nullCurves=0
Track: 2223, dx=2.0469, dy=-1.5358, dtheta=-0.007582, nullCurves=0
Track: 2541, dx=-0.6590, dy=2.7072, dtheta=-6.274412, nullCurves=0
Track: 2774, dx=17.9053, dy=0.0000, dtheta=-0.000000, nullCurves=2
Track: 4078, dx=-1.8486, dy=2.0888, dtheta=-6.271117, nullCurves=0
Track: 4079, dx=-1.7873, dy=2.8521, dtheta=-0.015266, nullCurves=0
Track: 4487, dx=-1.3617, dy=2.0186, dtheta=-6.267882, nullCurves=0
Track: 4629, dx=0.1197, dy=2.2138, dtheta=-6.269494, nullCurves=0
Track: 4638, dx=-0.8451, dy=2.1095, dtheta=-6.271246, nullCurves=0
Track: 4653, dx=2.3211, dy=-1.1551, dtheta=-6.274143, nullCurves=0
